Word,Count,Average Sentiment
elon_musk,239,-0.0073
like,79,0.1458
get,73,-0.0208
people,72,-0.0725
would,67,-0.0422
donald_trump,64,0.0114
twitter,57,-0.022
say,53,0.1422
right,53,-0.0232
make,49,-0.0536
elon_musk_elon_musk,48,0.0193
joe_biden,41,-0.0674
think,40,-0.0078
one,39,0.1503
want,37,-0.0129
back,36,0.0582
even,32,-0.181
vote,29,0.3287
guy,29,0.1717
see,28,-0.0065
really,28,-0.0889
jeff_bezos,28,0.0782
time,27,-0.0316
mark_zuckerberg,26,-0.2053
well,24,0.2816
buy,23,-0.1445
tesla,23,0.1785
use,21,0.0438
never,21,-0.0061
money,21,-0.0982
thing,21,0.1571
life,21,0.209
company,20,0.2024
work,20,-0.0297
fuck,20,-0.3388
year,20,-0.1237
know,19,-0.0903
medium,19,-0.26
actually,18,0.0414
could,18,-0.0688
big,18,0.0709
fight,18,-0.1382
mean,17,-0.2798
free,17,0.6824
shit,17,-0.4624
support,17,0.2295
let,16,-0.1153
someone,16,0.1801
take,16,0.2665
rich,16,0.2078
