Word,Count,Average Sentiment
elon_musk,216,0.1202
elon_musk_elon_musk,59,0.0526
like,50,0.4909
jeff_bezos,49,0.1162
people,39,0.3749
would,37,0.3923
donald_trump,35,0.2319
get,27,0.2578
one,25,0.2907
think,23,0.4337
yang,22,0.4667
see,21,0.2567
force,21,-0.1066
guy,19,0.228
good,19,0.5593
time,18,0.3119
jeff_bezos_jeff_bezos,17,0.0836
know,16,0.1997
hes,16,-0.0073
mark_zuckerberg,16,-0.1883
looks,15,0.4592
really,14,0.1913
make,13,0.4415
better,13,0.2717
much,13,0.3288
space,13,0.2588
money,13,0.3242
jim_cramer,13,0.0095
got,12,0.2219
way,12,0.1072
even,12,0.2423
also,12,0.2761
years,12,-0.1557
well,11,0.4575
could,11,0.3849
never,11,0.1503
wants,11,0.1893
actually,11,0.1114
work,11,0.2625
thing,11,0.2194
made,10,0.3667
probably,10,0.3789
love,10,0.7091
need,10,0.2613
video,10,0.1811
said,10,0.1952
says,10,0.3109
mark,10,-0.0187
someone,9,0.5817
back,9,0.5376
