name,token,mention_count,average_sentiment,sentiment_std_dev
Bernie Sanders,bernie_sanders,4,0.694,0.2091017336130908
Larry Page,larry_page,4,0.33560000000000006,0.2875670008884886
Joe Biden,joe_biden,4,0.32315,0.34944915581526304
Chamath Palihapitiya,chamath_palihapitiya,1,0.2716,0.0
Donald Trump,donald_trump,35,0.2318869565217391,0.5206305727750998
Pete Buttigieg,pete_buttigieg,5,0.20586,0.22240332371617114
Elon Musk,elon_musk,217,0.11924263565891473,0.472312222483393
Jeff Bezos,jeff_bezos,49,0.11619655172413794,0.3705831625379828
Jim Cramer,jim_cramer,13,0.009524999999999992,0.46839836077317776
Cathie Wood,cathie_wood,2,0.0,0.0
Mark Zuckerberg,mark_zuckerberg,16,-0.18828333333333336,0.4836771011551179
