Word,TF-IDF Score
elon_musk,0.03645
donald_trump,0.02347
like,0.01233
elon_musk elon_musk,0.01099
lol,0.01072
bernie_sanders,0.01004
one,0.00984
people,0.00842
tesla,0.00841
money,0.0083
think,0.00764
even,0.00748
going,0.00739
full,0.00732
time,0.00712
really,0.00684
shit,0.00657
says,0.00655
donald_trump donald_trump,0.0064
comments,0.00615
man,0.00615
real,0.00604
much,0.00603
great,0.00584
political,0.00579
good,0.00579
jeff_bezos,0.0056
get,0.00531
would,0.0053
see,0.0052
attack,0.00515
never,0.00512
change,0.00492
government,0.00486
waste,0.0047
way,0.00468
need,0.00465
fucking,0.00461
twitter,0.00457
interview,0.00456
full transcript,0.00449
transcript,0.00449
take,0.00447
ddos,0.00446
could,0.00446
far,0.00445
joe_biden,0.0044
working,0.0043
times,0.00422
sense,0.00421
