Word,TF-IDF Score
elon_musk,0.04871
jeff_bezos,0.02572
elon_musk elon_musk,0.02062
get,0.01436
like,0.01405
would,0.01274
time,0.01135
look,0.01094
donald_trump,0.01089
people,0.01087
make,0.00997
think,0.00954
good,0.00942
yes,0.00862
take,0.00829
know,0.008
guy,0.00786
jeff_bezos jeff_bezos,0.00777
well,0.00767
say,0.00761
see,0.00757
yang,0.00696
one,0.00662
mark,0.00655
love,0.00652
mark_zuckerberg,0.00642
want,0.00637
year,0.00624
jim_cramer,0.00596
video,0.00564
space,0.00535
way,0.00524
lol,0.0052
vote,0.00513
work,0.00513
probably,0.00511
hair,0.00507
link,0.00498
believe,0.00495
hero,0.00492
start,0.00472
thing,0.00471
really,0.00469
sporange,0.00466
need,0.0046
look like,0.00459
never,0.00456
much,0.00455
source,0.00452
big,0.00445
