GENDER,RACE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,AGE_continuous,DRIVING_EXPERIENCE_continuous,OUTCOME
female,majority,high school,upper class,0.545417084,1,after 2015,1,1,10238,8000,sedan,4,0,6,80,39,0
male,majority,none,poverty,0.361876321,0,before 2015,1,1,10238,9000,sedan,0,0,0,26,2,1
female,minority,university,middle class,0.535840386,1,before 2015,1,0,10238,12000,sedan,0,0,0,29,7,0
female,majority,high school,upper class,0.612544766,1,after 2015,1,0,32765,9000,sedan,3,0,0,60,13,0
male,majority,university,middle class,0.47426809,1,before 2015,0,0,32765,13000,sedan,0,0,0,52,0,1
female,majority,high school,working class,0.329006998,1,before 2015,1,0,10238,13000,sedan,4,0,1,30,18,0
female,majority,none,working class,0.477491654,1,before 2015,0,1,32765,10000,sedan,1,0,0,26,16,0
female,majority,university,middle class,0.609474269,0,before 2015,0,0,10238,,sedan,0,0,1,31,19,1
male,majority,university,poverty,,1,before 2015,0,0,32765,13000,sedan,0,0,0,16,4,1
female,majority,high school,upper class,0.543177552,1,before 2015,1,1,32765,8000,sedan,1,0,0,39,10,0
female,majority,high school,working class,0.423804205,1,before 2015,1,1,10238,8000,sedan,1,0,2,39,14,0
female,minority,university,working class,0.496029873,1,after 2015,0,0,10238,13000,sedan,0,0,1,57,11,0
male,majority,university,upper class,0.754048492,1,before 2015,1,1,32765,9000,sedan,5,2,2,79,17,1
female,majority,high school,middle class,0.603395468,1,after 2015,1,1,10238,9000,sedan,1,0,0,40,27,0
male,majority,university,middle class,0.489111776,1,after 2015,0,0,10238,14000,sedan,0,0,2,34,12,0
female,majority,none,poverty,0.503587978,0,before 2015,0,0,32765,11000,sedan,0,0,0,25,3,1
female,majority,high school,middle class,0.351204384,1,before 2015,1,1,10238,12000,sedan,0,2,0,36,16,0
male,majority,high school,upper class,,1,before 2015,0,1,32765,11000,sedan,5,0,0,41,28,0
male,majority,university,upper class,0.458583132,1,before 2015,1,1,10238,14000,sedan,4,0,2,73,24,0
male,minority,university,poverty,0.27030173,1,before 2015,0,0,10238,13000,sedan,0,0,0,18,4,1
female,majority,high school,upper class,0.374098895,1,after 2015,1,0,10238,11000,sedan,0,0,1,59,19,0
