"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2025","206.16","201.65","206.62","201.26","34.31M","0.28%"
"05/16/2025","205.59","206.85","206.85","204.37","43.32M","0.20%"
"05/15/2025","205.17","206.45","206.88","202.67","64.35M","-2.42%"
"05/14/2025","210.25","211.45","211.93","208.85","38.49M","-0.53%"
"05/13/2025","211.37","211.08","214.84","210.10","56.19M","1.31%"
"05/12/2025","208.64","210.71","211.66","205.75","75.21M","8.07%"
"05/09/2025","193.06","193.38","194.69","191.16","29.66M","0.51%"
"05/08/2025","192.08","191.43","194.33","188.82","41.04M","1.79%"
"05/07/2025","188.71","185.56","190.99","185.01","44.00M","2.00%"
"05/06/2025","185.01","184.57","187.93","183.85","29.31M","-0.72%"
"05/05/2025","186.35","186.51","188.18","185.53","35.22M","-1.91%"
"05/02/2025","189.98","191.43","192.88","186.40","77.90M","-0.12%"
"05/01/2025","190.20","190.63","191.81","187.50","74.27M","3.13%"
"04/30/2025","184.42","182.17","185.05","178.85","55.18M","-1.58%"
"04/29/2025","187.39","183.99","188.02","183.68","41.67M","-0.17%"
"04/28/2025","187.70","190.10","190.22","184.88","33.22M","-0.68%"
"04/25/2025","188.99","187.62","189.94","185.49","36.41M","1.31%"
"04/24/2025","186.54","180.91","186.74","180.18","43.76M","3.29%"
"04/23/2025","180.60","183.45","187.38","180.19","63.47M","4.28%"
"04/22/2025","173.18","169.85","176.78","169.35","56.61M","3.50%"
"04/21/2025","167.32","169.60","169.60","165.29","48.13M","-3.06%"
"04/17/2025","172.61","176.00","176.21","172.00","44.73M","-0.99%"
"04/16/2025","174.33","176.29","179.10","171.41","51.88M","-2.93%"
"04/15/2025","179.59","181.41","182.35","177.93","43.64M","-1.39%"
"04/14/2025","182.12","186.84","187.44","179.23","48.00M","-1.49%"
"04/11/2025","184.87","179.93","185.86","178.00","50.59M","2.01%"
"04/10/2025","181.22","185.44","186.87","175.85","68.30M","-5.17%"
"04/09/2025","191.10","172.12","192.65","169.93","116.80M","11.98%"
"04/08/2025","170.66","185.23","185.90","168.57","87.71M","-2.62%"
"04/07/2025","175.26","162.00","183.41","161.38","109.33M","2.49%"
"04/04/2025","171.00","167.15","178.14","166.00","123.16M","-4.15%"
"04/03/2025","178.41","182.99","184.13","176.92","95.55M","-8.98%"
"04/02/2025","196.01","187.66","198.34","187.66","53.68M","2.00%"
"04/01/2025","192.17","187.86","193.93","187.20","41.27M","1.00%"
"03/31/2025","190.26","188.19","191.33","184.40","63.55M","-1.28%"
"03/28/2025","192.72","198.42","199.26","191.88","52.55M","-4.29%"
"03/27/2025","201.36","200.89","203.79","199.28","27.32M","0.11%"
"03/26/2025","201.13","205.84","206.01","199.93","32.99M","-2.23%"
"03/25/2025","205.71","203.60","206.21","203.22","31.17M","1.21%"
"03/24/2025","203.26","200.00","203.64","199.95","41.63M","3.59%"
"03/21/2025","196.21","192.90","196.99","192.52","60.06M","0.65%"
"03/20/2025","194.95","193.07","199.32","192.30","38.92M","-0.30%"
"03/19/2025","195.54","193.38","195.96","191.96","39.44M","1.41%"
"03/18/2025","192.82","192.52","194.00","189.38","40.41M","-1.49%"
"03/17/2025","195.74","198.77","199.00","194.32","47.34M","-1.12%"
"03/14/2025","197.95","197.41","198.65","195.32","38.10M","2.09%"
"03/13/2025","193.89","198.16","198.88","191.82","41.27M","-2.51%"
"03/12/2025","198.89","200.72","201.52","195.29","43.68M","1.17%"
"03/11/2025","196.59","193.90","200.18","193.40","54.00M","1.05%"
"03/10/2025","194.54","195.60","196.73","190.85","62.35M","-2.36%"
"03/07/2025","199.25","199.49","202.27","192.53","59.80M","-0.72%"
"03/06/2025","200.70","204.40","205.77","198.30","49.86M","-3.68%"
"03/05/2025","208.36","204.80","209.98","203.26","38.61M","2.24%"
"03/04/2025","203.80","200.11","206.80","197.43","60.85M","-0.60%"
"03/03/2025","205.02","213.35","214.01","202.55","42.95M","-3.42%"
"02/28/2025","212.28","208.65","212.62","206.99","51.77M","1.70%"
"02/27/2025","208.74","218.35","219.97","208.37","40.55M","-2.62%"
"02/26/2025","214.35","214.94","218.16","213.09","39.12M","0.73%"
"02/25/2025","212.80","211.63","213.34","204.16","58.96M","0.04%"
"02/24/2025","212.71","217.45","217.71","212.42","42.39M","-1.79%"
"02/21/2025","216.58","223.28","223.31","214.74","55.32M","-2.83%"
"02/20/2025","222.88","224.77","225.13","221.81","30.00M","-1.65%"
"02/19/2025","226.63","225.52","226.83","223.71","28.57M","-0.01%"
"02/18/2025","226.65","228.82","229.30","223.72","42.98M","-0.89%"
"02/14/2025","228.68","229.20","229.89","227.23","27.03M","-0.73%"
"02/13/2025","230.37","228.85","230.42","227.52","31.35M","0.63%"
"02/12/2025","228.93","230.46","231.18","228.16","32.29M","-1.65%"
"02/11/2025","232.76","231.92","233.44","230.13","23.71M","-0.16%"
"02/10/2025","233.14","230.54","233.92","229.20","35.42M","1.74%"
"02/07/2025","229.15","232.50","234.81","228.06","77.54M","-4.05%"
"02/06/2025","238.83","238.01","239.66","236.01","60.90M","1.13%"
"02/05/2025","236.17","237.02","238.32","235.20","38.83M","-2.43%"
"02/04/2025","242.06","239.01","242.52","238.03","29.71M","1.95%"
"02/03/2025","237.42","234.06","239.25","232.90","37.29M","-0.11%"
"01/31/2025","237.68","236.50","240.29","236.41","36.16M","1.30%"
"01/30/2025","234.64","237.14","237.95","232.22","32.02M","-1.03%"
"01/29/2025","237.07","239.01","240.39","236.15","26.09M","-0.45%"
"01/28/2025","238.15","234.29","241.77","233.98","41.59M","1.16%"
"01/27/2025","235.42","226.21","235.61","225.86","49.43M","0.24%"
"01/24/2025","234.85","234.50","236.40","232.93","25.89M","-0.24%"
"01/23/2025","235.42","234.10","235.52","231.51","26.40M","0.17%"
"01/22/2025","235.01","232.02","235.44","231.19","41.45M","1.86%"
"01/21/2025","230.71","228.90","231.78","226.94","39.95M","2.11%"
"01/17/2025","225.94","225.84","226.51","223.08","42.37M","2.39%"
"01/16/2025","220.66","224.42","224.65","220.31","24.76M","-1.20%"
"01/15/2025","223.35","222.83","223.57","220.75","31.29M","2.57%"
"01/14/2025","217.76","220.44","221.82","216.20","24.71M","-0.32%"
"01/13/2025","218.46","218.06","219.40","216.47","27.26M","-0.22%"
"01/10/2025","218.94","221.46","221.71","216.50","36.81M","-1.44%"
"01/08/2025","222.13","223.18","223.52","220.20","25.03M","0.01%"
"01/07/2025","222.11","227.90","228.38","221.46","28.08M","-2.42%"
"01/06/2025","227.61","226.78","228.84","224.84","31.85M","1.53%"
"01/03/2025","224.19","222.51","225.36","221.62","27.52M","1.80%"
"01/02/2025","220.22","222.03","225.15","218.19","33.96M","0.38%"
"12/31/2024","219.39","222.96","223.23","218.94","24.82M","-0.86%"
"12/30/2024","221.30","220.06","223.00","218.43","28.32M","-1.09%"
"12/27/2024","223.75","225.60","226.03","220.90","27.37M","-1.45%"
"12/26/2024","227.05","228.50","228.50","226.67","16.17M","-0.87%"
"12/24/2024","229.05","226.94","229.14","226.13","15.01M","1.77%"
"12/23/2024","225.06","225.01","226.88","223.90","28.07M","0.06%"
"12/20/2024","224.92","219.84","226.21","218.73","88.28M","0.73%"
"12/19/2024","223.29","224.91","226.09","222.92","39.92M","1.26%"
"12/18/2024","220.52","230.77","231.40","220.11","43.28M","-4.60%"
"12/17/2024","231.15","232.39","232.73","227.85","35.95M","-0.76%"
"12/16/2024","232.93","230.23","233.00","228.01","37.55M","2.40%"
"12/13/2024","227.46","228.40","230.20","225.86","28.77M","-0.66%"
"12/12/2024","228.97","229.83","231.09","227.63","28.20M","-0.56%"
"12/11/2024","230.26","226.41","231.20","226.26","35.39M","2.32%"
"12/10/2024","225.04","226.09","229.06","224.20","31.20M","-0.46%"
"12/09/2024","226.09","227.21","230.08","225.67","46.82M","-0.41%"
"12/06/2024","227.03","220.75","227.15","220.60","44.18M","2.94%"
"12/05/2024","220.55","218.03","222.15","217.30","41.14M","1.10%"
"12/04/2024","218.16","215.96","220.00","215.75","48.75M","2.21%"
"12/03/2024","213.44","210.31","214.02","209.65","32.21M","1.30%"
"12/02/2024","210.71","209.96","212.99","209.51","39.52M","1.36%"
"11/29/2024","207.89","205.83","208.20","204.59","24.89M","1.05%"
"11/27/2024","205.74","206.98","207.64","205.05","28.06M","-1.02%"
"11/26/2024","207.86","201.90","208.00","201.79","41.67M","3.18%"
"11/25/2024","201.45","199.28","201.95","199.00","40.69M","2.20%"
"11/22/2024","197.12","198.25","199.26","196.75","31.53M","-0.64%"
"11/21/2024","198.38","203.49","203.49","195.75","58.80M","-2.22%"
"11/20/2024","202.88","202.98","203.13","199.45","32.77M","-0.85%"
"11/19/2024","204.61","199.33","205.30","198.78","31.20M","1.44%"
"11/18/2024","201.70","204.15","204.67","200.95","36.51M","-0.45%"
"11/15/2024","202.61","206.76","207.34","199.61","86.59M","-4.19%"
"11/14/2024","211.48","214.16","215.90","210.88","42.62M","-1.22%"
"11/13/2024","214.10","209.40","215.09","209.14","46.21M","2.48%"
"11/12/2024","208.91","208.37","209.54","206.01","38.94M","1.00%"
