date,open,close,volume,beta
2025-05-19,265.45,268.41,3200000.0,0.62
2025-05-16,266.35,266.76,3820000.0,0.62
2025-05-15,259.01,266.68,4860000.0,0.62
2025-05-14,257.6,257.82,3640000.0,0.62
2025-05-13,254.43,258.59,3520000.0,0.62
2025-05-12,252.5,253.69,4610000.0,0.62
2025-05-09,252.51,249.2,2900000.0,0.62
2025-05-08,255.0,254.14,3640000.0,0.62
2025-05-07,249.45,253.37,3400000.0,0.62
2025-05-06,247.76,249.12,2900000.0,0.62
2025-05-05,243.74,249.18,4139999.9999999995,0.62
2025-05-02,243.13,245.55,3730000.0,0.62
2025-05-01,241.44,239.66,4240000.0,0.62
2025-04-30,236.73,241.82,5140000.0,0.62
2025-04-29,237.0,239.39,3430000.0,0.62
2025-04-28,232.86,236.16,3650000.0,0.62
2025-04-25,228.95,232.41,6700000.0,0.62
2025-04-24,231.18,229.33,15430000.0,0.62
2025-04-23,246.0,245.48,7950000.0,0.62
2025-04-22,238.5,240.9,4230000.0,0.62
2025-04-21,238.07,236.22,4910000.0,0.62
2025-04-17,239.68,238.81,4640000.0,0.62
2025-04-16,240.28,238.57,4870000.0,0.62
2025-04-15,239.55,240.7,3360000.0,0.62
2025-04-14,239.77,239.06,3320000.0,0.62
2025-04-11,229.72,235.48,4330000.0,0.62
2025-04-10,231.0,229.55,5660000.0,0.62
2025-04-09,217.12,235.31,7300000.0,0.62
2025-04-08,232.56,221.03,6850000.0,0.62
2025-04-07,219.24,225.78,7800000.0,0.62
2025-04-04,238.0,227.48,7410000.0,0.62
2025-04-03,242.71,243.49,5310000.0,0.62
2025-04-02,248.22,249.98,4080000.0,0.62
2025-04-01,248.03,250.34,4410000.0,0.62
2025-03-31,242.74,248.66,6790000.0,0.62
2025-03-28,246.27,244.0,3130000.0,0.62
2025-03-27,249.71,246.21,2890000.0,0.62
2025-03-26,251.25,250.34,4450000.0,0.62
2025-03-25,248.36,249.9,3130000.0,0.62
2025-03-24,247.31,248.45,4750000.0,0.62
2025-03-21,241.69,243.87,9580000.0,0.62
2025-03-20,244.24,243.32,7030000.0,0.62
2025-03-19,248.33,252.29,3850000.0,0.62
2025-03-18,252.51,246.95,4170000.0,0.62
2025-03-17,249.25,252.97,3230000.0,0.62
2025-03-14,242.74,248.35,4050000.0,0.62
2025-03-13,248.8,245.8,3860000.0,0.62
2025-03-12,250.35,249.63,3850000.0,0.62
2025-03-11,255.99,248.95,5630000.0,0.62
2025-03-10,261.56,256.9,8170000.0,0.62
2025-03-07,245.95,261.54,6700000.0,0.62
2025-03-06,249.75,248.69,3250000.0,0.62
2025-03-05,251.58,251.35,4010000.0,0.62
2025-03-04,248.75,253.21,5340000.0,0.62
2025-03-03,254.74,250.19,2980000.0,0.62
2025-02-28,250.85,252.44,7990000.0,0.62
2025-02-27,255.22,253.23,3400000.0,0.62
2025-02-26,258.1,255.84,3460000.0,0.62
2025-02-25,261.08,257.75,6290000.0,0.62
2025-02-24,261.5,261.87,4400000.0,0.62
2025-02-21,263.85,261.48,5670000.0,0.62
2025-02-20,263.65,264.74,4880000.0,0.62
2025-02-19,262.0,264.32,3720000.0,0.62
2025-02-18,261.93,263.07,4260000.0,0.62
2025-02-14,259.0,261.28,3930000.0,0.62
2025-02-13,255.66,259.19,4530000.0,0.62
2025-02-12,252.72,255.81,3080000.0,0.62
2025-02-11,251.1,254.7,4800000.0,0.62
2025-02-10,250.86,249.27,3560000.0,0.62
2025-02-07,255.28,252.34,3370000.0,0.62
2025-02-06,262.98,253.44,6130000.0,0.62
2025-02-05,265.71,263.3,6170000.0,0.62
2025-02-04,260.0,264.46,6080000.0,0.62
2025-02-03,252.4,260.73,8410000.0,0.62
2025-01-31,256.05,255.7,7200000.0,0.62
2025-01-30,250.0,258.27,15380000.0,0.62
2025-01-29,225.62,228.63,7080000.0,0.62
2025-01-28,224.32,225.66,4490000.0,0.62
2025-01-27,222.19,224.13,4900000.0,0.62
2025-01-24,225.27,224.8,3230000.0,0.62
2025-01-23,223.94,226.04,3620000.0,0.62
2025-01-22,221.98,223.26,4760000.0,0.62
2025-01-21,224.99,224.26,3980000.0,0.62
2025-01-17,225.96,224.79,5510000.0,0.62
2025-01-16,219.69,222.66,3330000.0,0.62
2025-01-15,220.87,220.03,2950000.0,0.62
2025-01-14,218.0,217.75,3490000.0,0.62
2025-01-13,217.89,217.4,3720000.0,0.62
2025-01-10,222.0,219.75,3570000.0,0.62
2025-01-08,223.91,223.18,2620000.0,0.62
2025-01-07,223.35,223.96,3300000.0,0.62
2025-01-06,223.0,222.67,2850000.0,0.62
2025-01-03,220.55,222.65,3870000.0,0.62
2025-01-02,221.82,219.94,2580000.0,0.62
2024-12-31,220.72,219.83,2270000.0,0.62
2024-12-30,220.54,220.25,2100000.0,0.62
2024-12-27,223.14,222.78,1810000.0,0.62
2024-12-26,223.31,224.89,3290000.0,0.62
2024-12-24,222.27,224.41,1190000.0,0.62
2024-12-23,222.81,221.93,2990000.0,0.62
2024-12-20,222.73,223.36,12420000.0,0.62
2024-12-19,224.42,223.92,4430000.0,0.62
2024-12-18,229.04,220.17,4150000.0000000005,0.62
2024-12-17,229.23,228.97,3650000.0,0.62
2024-12-16,230.73,229.33,3610000.0,0.62
2024-12-13,232.25,230.82,2760000.0,0.62
2024-12-12,230.66,232.26,4520000.0,0.62
2024-12-11,232.69,230.12,3870000.0,0.62
2024-12-10,228.4,231.72,4770000.0,0.62
2024-12-09,238.0,230.0,4970000.0,0.62
2024-12-06,234.43,238.04,4030000.0000000005,0.62
2024-12-05,233.55,234.75,4790000.0,0.62
2024-12-04,230.0,233.49,4099999.9999999995,0.62
2024-12-03,227.24,229.0,3160000.0,0.62
2024-12-02,227.5,227.39,2660000.0,0.62
2024-11-29,227.75,227.41,2640000.0,0.62
2024-11-27,228.83,226.92,3000000.0,0.62
2024-11-26,226.73,228.83,4450000.0,0.62
2024-11-25,223.35,226.13,7190000.0,0.62
2024-11-22,223.35,222.97,5320000.0,0.62
2024-11-21,215.81,222.4,5240000.0,0.62
2024-11-20,211.0,214.6,4560000.0,0.62
2024-11-19,206.5,210.25,2860000.0,0.62
2024-11-18,207.0,208.09,3410000.0,0.62
2024-11-15,207.46,204.99,3990000.0,0.62
2024-11-14,210.0,208.99,6370000.0,0.62
2024-11-13,209.5,210.92,3250000.0,0.62
2024-11-12,211.9,210.86,2820000.0,0.62
2024-11-11,214.4,213.57,3010000.0,0.62
2024-11-08,214.16,213.72,3200000.0,0.62
2024-11-07,213.64,213.69,3680000.0,0.62
2024-11-06,213.48,213.6,3930000.0,0.62
2024-11-05,206.17,207.57,2440000.0,0.62
2024-11-04,207.65,206.32,2590000.0,0.62
2024-11-01,207.77,208.25,3330000.0,0.62
2024-10-31,204.13,206.72,5930000.0,0.62
2024-10-30,209.48,204.9,6960000.0,0.62
2024-10-29,211.99,210.43,5260000.0,0.62
2024-10-28,215.5,212.91,4990000.0,0.62
2024-10-25,216.8,214.67,8480000.0,0.62
2024-10-24,220.8,218.39,11190000.0,0.62
2024-10-23,230.41,232.75,5790000.0,0.62
2024-10-22,231.99,232.25,3180000.0,0.62
2024-10-21,231.21,231.75,2730000.0,0.62
2024-10-18,231.92,232.2,4720000.0,0.62
2024-10-17,232.0,232.88,5040000.0,0.62
2024-10-16,232.11,233.67,2850000.0,0.62
2024-10-15,236.4,232.96,3350000.0,0.62
2024-10-14,233.57,235.26,2520000.0,0.62
2024-10-11,233.25,233.26,3470000.0,0.62
2024-10-10,235.1,233.02,3140000.0,0.62
2024-10-09,229.2,234.3,5080000.0,0.62
2024-10-08,228.11,228.62,3250000.0,0.62
2024-10-07,225.38,227.12,3460000.0,0.62
2024-10-04,223.75,226.0,3550000.0,0.62
2024-10-03,219.5,222.72,3790000.0,0.62
2024-10-02,218.31,219.73,3340000.0,0.62
2024-10-01,220.63,219.35,3550000.0,0.62
2024-09-30,220.65,221.08,3540000.0,0.62
2024-09-27,223.0,220.84,3830000.0,0.62
2024-09-26,222.11,223.43,2670000.0,0.62
2024-09-25,221.17,221.23,2540000.0,0.62
2024-09-24,219.78,220.97,3180000.0,0.62
2024-09-23,218.0,220.5,4070000.0000000005,0.62
2024-09-20,214.33,217.7,9960000.0,0.62
2024-09-19,218.01,213.89,5280000.0,0.62
2024-09-18,214.13,214.94,3480000.0,0.62
2024-09-17,217.25,214.13,5640000.0,0.62
2024-09-16,215.88,217.16,4179999.9999999995,0.62
2024-09-13,212.48,214.79,4570000.0,0.62
2024-09-12,210.0,211.61,4620000.0,0.62
2024-09-11,207.76,209.89,5550000.0,0.62
2024-09-10,204.2,205.32,3070000.0,0.62
2024-09-09,201.94,203.53,3710000.0,0.62
2024-09-06,202.38,200.74,3300000.0,0.62
2024-09-05,204.08,202.59,3230000.0,0.62
2024-09-04,200.76,204.11,3140000.0,0.62
2024-09-03,201.91,201.28,3870000.0,0.62
2024-08-30,199.11,202.13,4750000.0,0.62
2024-08-29,199.3,198.9,2990000.0,0.62
2024-08-28,199.0,198.46,2650000.0,0.62
2024-08-27,197.44,198.73,2620000.0,0.62
2024-08-26,196.0,197.98,2570000.0,0.62
2024-08-23,196.79,196.1,2320000.0,0.62
2024-08-22,197.25,195.96,1970000.0,0.62
2024-08-21,195.97,197.21,2580000.0,0.62
2024-08-20,194.59,196.03,1790000.0,0.62
2024-08-19,193.84,194.73,2360000.0,0.62
2024-08-16,193.58,193.78,2490000.0,0.62
2024-08-15,193.51,193.95,2470000.0,0.62
2024-08-14,191.15,192.32,1900000.0,0.62
2024-08-13,190.29,190.99,2180000.0,0.62
2024-08-12,191.25,189.48,2290000.0,0.62
2024-08-09,191.18,191.45,2770000.0,0.62
2024-08-08,187.5,192.61,3710000.0,0.62
2024-08-07,188.08,186.8,3800000.0,0.62
2024-08-06,184.7,186.8,3630000.0,0.62
2024-08-05,184.55,183.31,4980000.0,0.62
2024-08-02,188.78,189.12,4550000.0,0.62
2024-08-01,192.81,189.66,4090000.0,0.62
2024-07-31,191.0,192.14,5560000.0,0.62
2024-07-30,191.48,191.04,3060000.0,0.62
2024-07-29,193.18,191.5,3340000.0,0.62
2024-07-26,190.51,191.75,4290000.0,0.62
2024-07-25,186.8,191.98,9530000.0,0.62
2024-07-24,184.14,184.02,6960000.0,0.62
2024-07-23,184.36,184.1,2180000.0,0.62
2024-07-22,183.4,184.15,2490000.0,0.62
2024-07-19,186.33,183.25,3820000.0,0.62
2024-07-18,186.64,185.22,3490000.0,0.62
2024-07-17,185.44,187.45,4230000.0,0.62
2024-07-16,184.67,185.81,3370000.0,0.62
2024-07-15,183.38,182.88,2930000.0,0.62
2024-07-12,178.56,182.83,4790000.0,0.62
2024-07-11,177.65,178.31,2810000.0,0.62
2024-07-10,176.6,177.84,3460000.0,0.62
2024-07-09,177.6,176.48,2510000.0,0.62
2024-07-08,176.41,177.64,2500000.0,0.62
2024-07-05,175.74,176.02,2089999.9999999998,0.62
2024-07-03,177.88,175.73,1650000.0,0.62
2024-07-02,174.84,177.3,2880000.0,0.62
2024-07-01,173.45,175.1,3320000.0,0.62
2024-06-28,170.85,172.95,4190000.0000000005,0.62
2024-06-27,171.12,170.85,2890000.0,0.62
2024-06-26,171.28,171.87,2780000.0,0.62
2024-06-25,175.14,172.6,4120000.0,0.62
2024-06-24,175.0,175.01,4860000.0,0.62
2024-06-21,173.97,172.46,10180000.0,0.62
2024-06-20,174.08,173.92,4720000.0,0.62
2024-06-18,170.0,170.55,3390000.0,0.62
2024-06-17,168.76,169.5,3240000.0,0.62
2024-06-14,168.29,169.21,2780000.0,0.62
2024-06-13,169.01,169.12,3530000.0,0.62
2024-06-12,171.35,169.0,3520000.0,0.62
2024-06-11,169.98,169.32,2950000.0,0.62
2024-06-10,169.55,170.38,3440000.0,0.62
2024-06-07,168.18,170.01,3480000.0,0.62
2024-06-06,167.38,168.2,2210000.0,0.62
2024-06-05,166.41,167.38,3050000.0,0.62
2024-06-04,164.6,165.81,2590000.0,0.62
2024-06-03,166.54,165.28,2780000.0,0.62
2024-05-31,165.7,166.85,4910000.0,0.62
2024-05-30,165.56,165.63,3850000.0,0.62
2024-05-29,168.0,167.05,4210000.0,0.62
2024-05-28,170.44,169.66,2630000.0,0.62
2024-05-24,171.48,170.89,2590000.0,0.62
2024-05-23,175.39,170.67,3340000.0,0.62
2024-05-22,173.39,173.69,3290000.0,0.62
2024-05-21,169.94,173.47,6460000.0,0.62
2024-05-20,169.0,169.92,2730000.0,0.62
2024-05-17,168.97,169.03,2960000.0,0.62
2024-05-16,168.26,168.97,3490000.0,0.62
2024-05-15,167.94,168.26,4470000.0,0.62
2024-05-14,167.86,167.36,2600000.0,0.62
2024-05-13,167.5,167.56,2410000.0,0.62
2024-05-10,167.13,167.15,2260000.0,0.62
2024-05-09,167.5,166.27,4270000.0,0.62
2024-05-08,168.01,169.9,3520000.0,0.62
2024-05-07,169.0,168.38,3160000.0,0.62
2024-05-06,166.5,168.61,4220000.0,0.62
2024-05-03,165.0,165.71,3400000.0,0.62
2024-05-02,164.35,164.69,3830000.0,0.62
2024-05-01,165.69,164.43,4030000.0000000005,0.62
2024-04-30,166.49,166.2,6010000.0,0.62
2024-04-29,167.4,167.43,5260000.0,0.62
2024-04-26,167.5,167.13,8980000.0,0.62
2024-04-25,168.2,168.91,16700000.0,0.62
2024-04-24,183.17,184.1,7620000.0,0.62
2024-04-23,182.73,182.19,5950000.0,0.62
2024-04-22,182.45,181.9,3080000.0,0.62
2024-04-19,182.43,181.58,3040000.0,0.62
2024-04-18,182.35,181.47,2890000.0,0.62
2024-04-17,184.16,183.1,3000000.0,0.62
2024-04-16,185.59,183.75,4470000.0,0.62
2024-04-15,185.57,181.25,3530000.0,0.62
2024-04-12,184.0,182.27,3550000.0,0.62
2024-04-11,186.04,185.9,2860000.0,0.62
2024-04-10,187.42,186.04,3080000.0,0.62
