"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2025","640.43","628.25","643.00","627.80","9.59M","0.01%"
"05/16/2025","640.34","637.96","640.44","626.15","18.52M","-0.55%"
"05/15/2025","643.88","654.28","657.31","638.58","14.34M","-2.35%"
"05/14/2025","659.36","661.21","662.67","654.31","12.35M","0.51%"
"05/13/2025","656.03","645.54","660.92","642.83","18.57M","2.60%"
"05/12/2025","639.43","630.92","640.39","621.03","21.97M","7.92%"
"05/09/2025","592.49","603.72","606.97","591.71","10.43M","-0.92%"
"05/08/2025","598.01","606.28","611.30","596.62","14.62M","0.20%"
"05/07/2025","596.81","590.36","603.08","586.67","13.16M","1.62%"
"05/06/2025","587.31","592.53","596.03","586.58","10.60M","-2.00%"
"05/05/2025","599.27","591.22","603.21","588.05","13.89M","0.38%"
"05/02/2025","597.02","583.46","604.34","578.33","24.74M","4.34%"
"05/01/2025","572.21","592.08","592.95","570.50","31.16M","4.23%"
"04/30/2025","549.00","538.40","549.10","529.50","29.24M","-0.98%"
"04/29/2025","554.44","546.00","556.57","544.12","11.84M","0.85%"
"04/28/2025","549.74","555.64","558.49","540.59","15.18M","0.45%"
"04/25/2025","547.27","546.80","549.86","536.25","17.10M","2.65%"
"04/24/2025","533.15","518.73","533.90","517.50","13.91M","2.48%"
"04/23/2025","520.27","528.53","535.34","516.52","18.17M","4.00%"
"04/22/2025","500.28","491.87","506.88","486.36","17.40M","3.22%"
"04/21/2025","484.66","491.33","493.50","479.80","16.17M","-3.35%"
"04/17/2025","501.48","505.25","507.30","498.01","14.59M","-0.17%"
"04/16/2025","502.31","508.51","513.37","495.63","18.74M","-3.68%"
"04/15/2025","521.52","532.10","537.94","517.50","15.56M","-1.87%"
"04/14/2025","531.48","556.17","557.77","528.28","14.13M","-2.22%"
"04/11/2025","543.57","535.51","547.40","528.59","17.64M","-0.50%"
"04/10/2025","546.29","575.49","581.30","535.30","28.17M","-6.74%"
"04/09/2025","585.77","509.27","587.89","502.11","39.22M","14.76%"
"04/08/2025","510.45","543.25","547.43","502.86","28.03M","-1.12%"
"04/07/2025","516.25","485.10","539.37","481.90","36.61M","2.28%"
"04/04/2025","504.73","506.62","518.00","494.20","38.59M","-5.06%"
"04/03/2025","531.62","546.22","552.56","530.30","34.78M","-8.96%"
"04/02/2025","583.93","574.91","592.66","573.36","13.47M","-0.35%"
"04/01/2025","586.00","570.84","589.91","570.00","12.84M","1.67%"
"03/31/2025","576.36","563.50","578.70","553.30","21.12M","-0.07%"
"03/28/2025","576.74","600.31","601.75","573.92","17.60M","-4.29%"
"03/27/2025","602.58","602.00","614.25","600.10","10.44M","-1.37%"
"03/26/2025","610.98","624.89","626.75","606.61","12.66M","-2.45%"
"03/25/2025","626.31","626.76","633.88","621.18","15.31M","1.21%"
"03/24/2025","618.85","614.97","622.54","612.20","15.74M","3.79%"
"03/21/2025","596.25","583.42","597.54","580.95","25.02M","1.75%"
"03/20/2025","586.00","582.76","610.20","579.51","24.34M","0.33%"
"03/19/2025","584.06","584.28","592.32","574.77","20.54M","0.29%"
"03/18/2025","582.36","600.05","600.25","574.66","20.30M","-3.73%"
"03/17/2025","604.90","607.46","613.10","598.00","15.47M","-0.44%"
"03/14/2025","607.60","602.80","608.86","594.78","12.36M","2.87%"
"03/13/2025","590.64","620.24","620.50","586.51","16.48M","-4.67%"
"03/12/2025","619.56","629.90","633.33","609.35","15.75M","2.29%"
"03/11/2025","605.71","595.05","614.93","593.33","17.40M","1.29%"
"03/10/2025","597.99","608.07","610.11","586.87","22.00M","-4.42%"
"03/07/2025","625.66","625.37","634.79","600.61","21.38M","-0.36%"
"03/06/2025","627.93","648.00","650.56","624.11","13.45M","-4.35%"
"03/05/2025","656.47","641.00","659.50","637.66","13.77M","2.57%"
"03/04/2025","640.00","645.51","649.75","623.65","21.50M","-2.30%"
"03/03/2025","655.05","673.67","681.25","650.84","10.84M","-1.97%"
"02/28/2025","668.20","658.04","669.63","642.60","17.53M","1.51%"
"02/27/2025","658.24","682.45","688.65","657.57","12.50M","-2.29%"
"02/26/2025","673.70","659.65","683.01","658.00","14.49M","2.46%"
"02/25/2025","657.50","665.97","668.00","641.86","20.58M","-1.59%"
"02/24/2025","668.13","686.28","687.27","662.45","15.68M","-2.26%"
