date,quarterly_eps,publish_date
2025-03-31,-0.45,2025-06-03
2024-12-31,-0.47,2025-03-21
2024-09-30,-0.36,2024-11-20
2024-06-30,-0.34,2024-09-05
2024-03-31,-0.36,2024-06-06
2023-12-31,-0.45,2024-03-05
2023-09-30,-0.37,2023-12-05
2023-06-30,-0.51,2023-08-29
2023-03-31,-0.42,2023-06-09
2022-12-31,-0.50,2023-03-01
2022-09-30,-0.36,2022-11-10
2022-06-30,-0.25,2022-09-07
2022-03-31,-0.18,2022-06-09
2021-12-31,-0.22,2022-03-24
2021-09-30,-0.28,2021-11-09
2021-06-30,-0.07,2021-08-11
2021-03-31,-0.48,2021-04-29
2020-12-31,-0.20,2021-03-01
2020-09-30,-0.14,2020-11-17
2020-06-30,-0.16,2020-08-11
2020-03-31,-0.23,2020-05-28
2019-12-31,-0.39,2020-03-18
2019-09-30,-0.35,2019-12-30
2019-06-30,-0.47,2019-09-24
2019-03-31,-0.38,2019-05-28
2018-12-31,-0.49,2019-03-05
2018-09-30,-1.51,2018-11-06
