date,beta,close,volume,open
2025-05-19,1.73,4.04,21900000.0,3.97
2025-05-16,1.73,4.1,25770000.0,4.08
2025-05-15,1.73,3.99,29330000.0,4.06
2025-05-14,1.73,4.13,25990000.0,4.16
2025-05-13,1.73,4.12,28020000.0,4.1
2025-05-12,1.73,4.2,44330000.0,4.23
2025-05-09,1.73,3.97,24090000.0,3.97
2025-05-08,1.73,3.96,27950000.0,3.91
2025-05-07,1.73,3.84,28670000.0,3.85
2025-05-06,1.73,3.92,33409999.999999996,3.91
2025-05-05,1.73,3.98,24160000.0,4.01
2025-05-02,1.73,4.03,28200000.0,4.08
2025-05-01,1.73,3.93,41510000.0,4.1
2025-04-30,1.73,4.05,31600000.0,4.02
2025-04-29,1.73,4.24,45970000.0,4.35
2025-04-28,1.73,4.31,60350000.0,4.09
2025-04-25,1.73,4.03,39700000.0,4.11
2025-04-24,1.73,4.18,55100000.0,3.94
2025-04-23,1.73,3.93,46950000.0,3.83
2025-04-22,1.73,3.75,38580000.0,3.63
2025-04-21,1.73,3.6,28420000.0,3.54
2025-04-17,1.73,3.52,23170000.0,3.51
2025-04-16,1.73,3.52,33470000.0,3.45
2025-04-15,1.73,3.62,28870000.0,3.56
2025-04-14,1.73,3.61,44130000.0,3.6
2025-04-11,1.73,3.52,56520000.0,3.33
2025-04-10,1.73,3.28,73430000.0,3.38
2025-04-09,1.73,3.31,78720000.0,3.09
2025-04-08,1.73,3.14,78200000.0,3.39
2025-04-07,1.73,3.36,73970000.0,3.195
2025-04-04,1.73,3.46,77690000.0,3.5
2025-04-03,1.73,3.74,36670000.0,3.64
2025-04-02,1.73,3.8,46020000.0,3.81
2025-04-01,1.73,3.87,43180000.0,3.87
2025-03-31,1.73,3.81,64819999.99999999,3.67
2025-03-28,1.73,3.75,78970000.0,3.895
2025-03-27,1.73,3.98,156710000.0,3.9
2025-03-26,1.73,4.22,62930000.0,4.37
2025-03-25,1.73,4.39,38080000.0,4.33
2025-03-24,1.73,4.38,59180000.0,4.4
2025-03-21,1.73,4.5,82880000.0,4.48
2025-03-20,1.73,4.71,79240000.0,4.98
2025-03-19,1.73,5.17,38700000.0,5.2
2025-03-18,1.73,5.19,79320000.0,5.275
2025-03-17,1.73,5.03,38060000.0,4.9
2025-03-14,1.73,4.9,53620000.0,4.86
2025-03-13,1.73,4.73,64250000.0,5.0
2025-03-12,1.73,5.1,87320000.0,5.055
2025-03-11,1.73,5.22,162170000.0,4.745
2025-03-10,1.73,4.46,66739999.99999999,4.39
2025-03-07,1.73,4.47,45990000.0,4.27
2025-03-06,1.73,4.24,44430000.0,4.33
2025-03-05,1.73,4.35,48200000.0,4.32
2025-03-04,1.73,4.22,41670000.0,4.18
2025-03-03,1.73,4.23,80300000.0,4.49
2025-02-28,1.73,4.63,60900000.0,4.55
2025-02-27,1.73,4.79,134810000.0,4.67
2025-02-26,1.73,4.72,121740000.0,4.375
2025-02-25,1.73,4.27,49950000.0,4.46
2025-02-24,1.73,4.36,37450000.0,4.44
2025-02-21,1.73,4.44,101150000.0,4.47
2025-02-20,1.73,4.37,39240000.0,4.45
2025-02-19,1.73,4.39,74650000.0,4.4
2025-02-18,1.73,4.36,43220000.0,4.49
2025-02-14,1.73,4.44,54300000.0,4.35
2025-02-13,1.73,4.26,51760000.0,4.165
2025-02-12,1.73,4.21,73190000.0,4.08
2025-02-11,1.73,4.04,69230000.0,4.21
2025-02-10,1.73,4.33,28710000.0,4.32
2025-02-07,1.73,4.24,37200000.0,4.28
2025-02-06,1.73,4.2,32000000.0,4.24
2025-02-05,1.73,4.2,35840000.0,4.26
2025-02-04,1.73,4.39,44230000.0,4.37
2025-02-03,1.73,4.28,63160000.0,4.17
2025-01-31,1.73,4.32,37500000.0,4.43
2025-01-30,1.73,4.44,49080000.0,4.27
2025-01-29,1.73,4.22,24440000.0,4.32
2025-01-28,1.73,4.32,37120000.0,4.27
2025-01-27,1.73,4.27,51190000.0,4.32
2025-01-24,1.73,4.29,40540000.0,4.19
2025-01-23,1.73,4.13,33090000.000000004,4.22
2025-01-22,1.73,4.28,39860000.0,4.17
2025-01-21,1.73,4.18,38460000.0,4.35
2025-01-17,1.73,4.36,50450000.0,4.21
2025-01-16,1.73,4.16,28870000.0,4.1
2025-01-15,1.73,4.1,32659999.999999996,4.11
2025-01-14,1.73,4.08,32479999.999999996,4.14
2025-01-13,1.73,4.06,36110000.0,4.12
2025-01-10,1.73,4.17,41830000.0,4.25
2025-01-08,1.73,4.32,49570000.0,4.4
2025-01-07,1.73,4.51,61960000.0,4.63
2025-01-06,1.73,4.71,53340000.0,4.765
2025-01-03,1.73,4.63,35600000.0,4.52
2025-01-02,1.73,4.55,63010000.0,4.42
2024-12-31,1.73,4.36,39900000.0,4.43
2024-12-30,1.73,4.38,36560000.0,4.43
2024-12-27,1.73,4.48,41200000.0,4.64
2024-12-26,1.73,4.69,33920000.0,4.63
2024-12-24,1.73,4.62,24240000.0,4.51
2024-12-23,1.73,4.48,32759999.999999996,4.5
2024-12-20,1.73,4.54,36770000.0,4.48
2024-12-19,1.73,4.4,27940000.0,4.4
2024-12-18,1.73,4.32,45530000.0,4.55
2024-12-17,1.73,4.54,39290000.0,4.4
2024-12-16,1.73,4.42,36540000.0,4.47
2024-12-13,1.73,4.51,31900000.0,4.53
2024-12-12,1.73,4.59,47030000.0,4.6
2024-12-11,1.73,4.67,55100000.0,4.78
2024-12-10,1.73,4.77,64769999.99999999,4.95
2024-12-09,1.73,5.18,123190000.0,4.94
2024-12-06,1.73,4.61,44030000.0,4.7
2024-12-05,1.73,4.61,86600000.0,4.65
2024-12-04,1.73,4.6,47930000.0,4.67
2024-12-03,1.73,4.64,79060000.0,4.41
2024-12-02,1.73,4.4,40710000.0,4.49
2024-11-29,1.73,4.48,29220000.0,4.38
2024-11-27,1.73,4.38,45470000.0,4.44
2024-11-26,1.73,4.31,71250000.0,4.6
2024-11-25,1.73,4.67,54230000.0,4.79
2024-11-22,1.73,4.84,66540000.00000001,4.6
