date,quarterly_eps,publish_date
2009-06-30,-0.1,2009-08-09
2009-09-30,-0.04,2009-11-09
2009-12-31,0.0,2010-02-09
2010-03-31,-0.27,2010-05-10
2010-06-30,-0.34,2010-08-09
2010-09-30,-0.03,2010-11-09
2010-12-31,0.43,2011-02-09
2011-03-31,-0.03,2011-05-10
2011-06-30,-0.04,2011-08-09
2011-09-30,-0.04,2011-11-09
2011-12-31,-0.05,2012-02-09
2012-03-31,-0.06,2012-05-10
2012-06-30,-0.07,2012-08-09
2012-09-30,-0.07,2012-11-09
2012-12-31,-0.05,2013-02-09
2013-03-31,0.0,2013-05-10
2013-06-30,-0.02,2013-08-09
2013-09-30,-0.02,2013-11-09
2013-12-31,0.0,2014-02-09
2014-03-31,-0.03,2014-05-10
2014-06-30,-0.03,2014-08-09
2014-09-30,-0.04,2014-11-09
2014-12-31,-0.06,2015-02-09
2015-03-31,-0.08,2015-05-10
2015-06-30,-0.1,2015-08-09
2015-09-30,-0.12,2015-11-09
2015-12-31,-0.17,2016-02-09
2016-03-31,-0.14,2016-05-10
2016-06-30,-0.14,2016-08-09
2016-09-30,0.01,2016-11-09
2016-12-31,-0.04,2017-02-09
2017-03-31,-0.14,2017-05-10
2017-06-30,-0.14,2017-08-09
2017-09-30,-0.25,2017-11-09
2017-12-31,-0.27,2018-02-09
2018-03-31,-0.28,2018-05-10
2018-06-30,-0.28,2018-08-09
2018-09-30,0.12,2018-11-09
2018-12-31,0.06,2019-02-09
2019-03-31,-0.27,2019-05-10
2019-06-30,-0.15,2019-08-09
2019-09-30,0.05,2019-11-09
2019-12-31,0.05,2020-02-09
2020-03-31,0.01,2020-05-10
2020-06-30,0.03,2020-08-09
2020-09-30,0.09,2020-11-09
2020-12-31,0.08,2021-02-09
2021-03-31,0.13,2021-05-10
2021-06-30,0.34,2021-08-09
2021-09-30,0.48,2021-11-09
2021-12-31,0.68,2022-02-09
2022-03-31,0.95,2022-05-10
2022-06-30,0.65,2022-08-09
2022-09-30,0.95,2022-11-09
2022-12-31,1.07,2023-02-09
2023-03-31,0.73,2023-05-10
2023-06-30,0.78,2023-08-09
2023-09-30,0.53,2023-11-09
2023-12-31,2.26,2024-02-09
2024-03-31,0.34,2024-05-10
2024-06-30,0.42,2024-08-09
2024-09-30,0.62,2024-11-09
2024-12-31,0.66,2025-02-09
