ID,GENDER,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,PAST_ACCIDENTS,AGE,DRIVING_EXPERIENCE,OUTCOME
1,female,high school,upper class,0.545417084,1,after 2015,1,1,10238,8000,sedan,4,6,80,39,0
2,male,none,poverty,0.361876321,0,before 2015,1,1,10238,9000,sedan,0,0,26,2,1
3,female,university,middle class,0.535840386,1,before 2015,1,0,10238,12000,sedan,0,0,29,7,0
4,female,high school,upper class,0.612544766,1,after 2015,1,0,32765,9000,sedan,3,0,60,13,0
5,male,university,middle class,0.47426809,1,before 2015,0,0,32765,13000,sedan,0,0,52,0,1
6,female,high school,working class,0.329006998,1,before 2015,1,0,10238,13000,sedan,4,1,30,18,0
7,female,none,working class,0.477491654,1,before 2015,0,1,32765,10000,sedan,1,0,26,16,0
8,female,university,middle class,0.609474269,0,before 2015,0,0,10238,,sedan,0,1,31,19,1
9,male,university,poverty,,1,before 2015,0,0,32765,13000,sedan,0,0,16,4,1
10,female,high school,upper class,0.543177552,1,before 2015,1,1,32765,8000,sedan,1,0,39,10,0
11,female,high school,working class,0.423804205,1,before 2015,1,1,10238,8000,sedan,1,2,39,14,0
12,female,university,working class,0.496029873,1,after 2015,0,0,10238,13000,sedan,0,1,57,11,0
13,male,university,upper class,0.754048492,1,before 2015,1,1,32765,9000,sedan,5,2,79,17,1
14,female,high school,middle class,0.603395468,1,after 2015,1,1,10238,9000,sedan,1,0,40,27,0
15,male,university,middle class,0.489111776,1,after 2015,0,0,10238,14000,sedan,0,2,34,12,0
16,female,none,poverty,0.503587978,0,before 2015,0,0,32765,11000,sedan,0,0,25,3,1
17,female,high school,middle class,0.351204384,1,before 2015,1,1,10238,12000,sedan,0,0,36,16,0
18,male,high school,upper class,,1,before 2015,0,1,32765,11000,sedan,5,0,41,28,0
19,male,university,upper class,0.458583132,1,before 2015,1,1,10238,14000,sedan,4,2,73,24,0
20,male,university,poverty,0.27030173,1,before 2015,0,0,10238,13000,sedan,0,0,18,4,1
21,female,high school,upper class,0.374098895,1,after 2015,1,0,10238,11000,sedan,0,1,59,19,0
22,female,university,working class,0.351117824,0,after 2015,1,1,10238,8000,sedan,2,1,29,12,0
23,male,high school,poverty,0.431561468,1,before 2015,0,0,10238,14000,sedan,0,0,23,9,1
24,female,high school,upper class,0.647540893,1,after 2015,0,1,10238,,sedan,0,0,66,9,0
25,female,high school,working class,0.409677774,0,before 2015,0,0,10238,13000,sedan,0,0,50,7,1
26,female,none,poverty,0.279634541,0,before 2015,0,0,10238,15000,sedan,0,0,25,1,1
27,female,none,working class,0.192427412,0,before 2015,0,1,32765,11000,sedan,0,0,23,0,1
28,female,none,middle class,0.420849226,0,before 2015,1,1,10238,,sedan,0,1,68,15,0
29,male,university,middle class,0.613793495,1,after 2015,1,1,10238,14000,sedan,0,0,19,3,1
30,male,high school,upper class,0.566352368,1,after 2015,1,1,10238,,sedan,2,1,60,22,0
31,female,university,upper class,0.527102887,1,before 2015,1,0,10238,11000,sports car,2,1,57,29,0
32,female,high school,upper class,0.794671196,1,after 2015,1,1,10238,,sedan,1,1,66,31,0
33,female,university,upper class,0.51725784,1,before 2015,1,1,10238,13000,sedan,1,0,76,20,0
34,male,high school,upper class,0.390293636,1,after 2015,1,1,10238,,sedan,1,1,69,11,0
35,female,university,middle class,0.562390089,1,before 2015,0,0,10238,13000,sedan,0,1,26,18,0
36,male,high school,poverty,0.251117974,1,before 2015,0,0,10238,14000,sedan,0,0,24,0,1
37,female,none,poverty,0.411757807,0,before 2015,0,0,10238,18000,sedan,0,0,36,19,1
38,female,high school,working class,0.504696661,0,before 2015,0,1,10238,14000,sedan,0,0,25,8,1
39,female,university,upper class,0.616328912,1,after 2015,0,1,10238,,sedan,0,0,67,0,0
40,female,university,upper class,0.644889557,1,after 2015,0,1,32765,14000,sedan,1,0,50,29,0
41,female,university,upper class,0.508606549,1,before 2015,1,1,10238,9000,sedan,3,3,71,31,0
42,male,university,middle class,0.330887247,1,before 2015,1,0,32765,11000,sedan,12,2,44,21,0
43,male,university,upper class,0.58514385,1,before 2015,1,1,10238,9000,sedan,1,1,68,30,0
44,male,none,working class,,1,before 2015,0,0,10238,12000,sedan,3,2,28,18,0
45,male,university,upper class,0.694260045,1,before 2015,0,1,32765,,sports car,7,0,54,27,0
